Method,LV_Cavity_Dice,Myocardium_Dice,RV_Cavity_Dice,Mean_Dice
U-Net,0.951,0.895,0.93,0.925
nnU-Net,0.968,0.909,0.945,0.941
MedNeXt,0.966,0.91,0.942,0.939
Proposed System,0.965,0.912,0.941,0.939
