bin_center,pred_conf,emp_acc,weight
0.05,0.05,0.06,0.03
0.15,0.15,0.14,0.05
0.25,0.25,0.26,0.1
0.35,0.35,0.33,0.12
0.45,0.45,0.46,0.1
0.55,0.55,0.56,0.12
0.65,0.65,0.62,0.14
0.75,0.75,0.71,0.14
0.85,0.85,0.81,0.1
0.95,0.95,0.9,0.1
