recall,precision_macro
0.0,1.0
0.001,0.9833000000000001
0.002,0.9666
0.003,0.9499000000000001
0.004,0.9332
0.005,0.9164999999999999
0.006,0.9000666666666668
0.007,0.8999133333333333
0.008,0.88752
0.009000000000000001,0.87704
0.01,0.8855999999999999
0.011,0.8941600000000001
0.012,0.9019142857142857
0.013000000000000001,0.9068357142857142
0.014,0.9114166666666665
0.015,0.9158035714285715
0.016,0.9200444444444444
0.017,0.924075
0.018000000000000002,0.9280200000000001
0.019,0.9306877777777778
0.02,0.9333555555555556
0.021,0.93585
0.022,0.9383363636363636
0.023,0.9407236363636363
0.024,0.9430472727272727
0.025,0.9447884615384614
0.026000000000000002,0.9464774358974359
0.027,0.9481438827838827
0.028,0.9497506227106227
0.029,0.9513542857142857
0.03,0.9528761904761904
0.031,0.9540990476190476
0.032,0.9552780952380953
0.033,0.9564475
0.034,0.9557754417151475
0.035,0.9518700576384399
0.036000000000000004,0.9479369891546362
0.037,0.9454279806794512
0.038,0.9466729483966325
0.039,0.9478912907268171
0.04,0.9490979114452799
0.041,0.9502444235588973
0.042,0.951128596491228
0.043000000000000003,0.9491486904761904
0.044,0.9471299999999999
0.045,0.9451024350649352
0.046,0.9430601897122486
0.047,0.9409861259009533
0.048,0.9391972192513368
0.049,0.9402204914877677
0.05,0.9412041708646568
0.051000000000000004,0.9421878502415458
0.052000000000000005,0.9431611674641148
0.053,0.9441093349282296
0.054,0.9450402856091277
0.055,0.9458757281315175
0.056,0.9466896429885903
0.057,0.947495729085729
0.058,0.9472904341662236
0.059000000000000004,0.9447884858611173
0.06,0.9446506779769936
0.061,0.9454300618921309
0.062,0.9461927109671937
0.063,0.9469464018067718
0.064,0.9476954813283156
0.065,0.9484289659313878
0.066,0.9491464004940557
0.067,0.9498072290113667
0.068,0.9504531902181883
0.069,0.9510949244885939
0.07,0.9517287360586273
0.07100000000000001,0.9523546905232448
0.07200000000000001,0.952965364068157
0.073,0.9535305153084023
0.074,0.9540873132074432
0.075,0.954636805163964
0.076,0.9551836050933193
0.077,0.9557224037444036
0.078,0.9559818436972387
0.079,0.9547516303905716
0.08,0.9535171110606404
0.081,0.9522746361777011
0.082,0.9510308096550482
0.083,0.9497811652090421
0.084,0.9488221520672824
0.085,0.949333129576081
0.08600000000000001,0.9498387034489063
0.08700000000000001,0.9503398245107355
0.088,0.9508377234830012
0.089,0.9513328735970765
0.09,0.9518155824053747
0.091,0.9522687856527833
0.092,0.9527183593459645
0.093,0.9531633999254641
0.094,0.9536062502357707
0.095,0.9540465644554278
0.096,0.9544769374504318
0.097,0.9548810746506649
0.098,0.9552842661900719
0.099,0.9556815716580178
0.1,0.956078237085001
0.101,0.9564727975545161
0.10200000000000001,0.9568578625814519
0.10300000000000001,0.957221579287421
0.10400000000000001,0.9575839298762704
0.105,0.9579420536079652
0.106,0.9582987410387039
0.107,0.9586546436923028
0.108,0.9590012800012859
0.109,0.9593304942579104
0.11,0.959657719545034
0.111,0.9599821009381178
0.112,0.9603049565629673
0.113,0.9606267541937996
0.114,0.9609414322272212
0.115,0.961239913243811
0.116,0.9615377735749003
0.117,0.9618326505226236
0.11800000000000001,0.9621264604611266
0.11900000000000001,0.9624189324015251
0.12,0.9627055561136848
0.121,0.9629778357527388
0.122,0.9632496052586509
0.123,0.9635191395179954
0.124,0.9637872354214665
0.125,0.9640548521795796
0.126,0.964316519195169
0.127,0.9645664004429151
0.128,0.9648151142905229
0.129,0.9650625335847678
0.13,0.9653083237707832
0.131,0.9655535943602972
0.132,0.9657939559286808
0.133,0.9660235757691076
0.134,0.9648367827002634
0.135,0.9641881440939667
0.136,0.964430888814998
0.137,0.9636006884391108
0.138,0.9621525058555689
0.139,0.9603470552908145
0.14,0.9585409512564075
0.14100000000000001,0.9567335285619553
0.14200000000000002,0.9549240759049689
0.14300000000000002,0.9531139386260945
0.14400000000000002,0.9516471141972207
0.145,0.9510328537417234
0.146,0.9504177494334167
0.147,0.9498016550768382
0.148,0.9491835971578414
0.149,0.948565158499763
0.15,0.9482171303545492
0.151,0.9485038441370938
0.152,0.948789729902192
0.153,0.9490746755066546
0.154,0.9493582453475737
0.155,0.949640808702371
0.156,0.9499190635650863
0.157,0.9501872021530031
0.158,0.9504546511660802
0.159,0.9507213995262195
0.16,0.950986764235606
0.161,0.9512513033168892
0.162,0.9510176809668771
0.163,0.9497409968529968
0.164,0.9484636396690738
0.165,0.9471859033088725
0.166,0.9459065550931346
0.167,0.9446268545812279
0.168,0.9438661453460666
0.169,0.9441346900003467
0.17,0.9444025654648783
0.171,0.9446698325239199
0.17200000000000001,0.9449360844481449
0.17300000000000001,0.9452017038440875
0.17400000000000002,0.9454630487352726
0.17500000000000002,0.9457165660629923
0.176,0.9459694932822741
0.177,0.9462217158054695
0.178,0.946473332298219
0.179,0.946723986642489
0.18,0.9467323667485317
0.181,0.9463084646907631
0.182,0.9458837359932588
0.183,0.9454587035311917
0.184,0.9450328539272739
0.185,0.9446063587952169
0.186,0.9444269469669437
0.187,0.9446660774653424
0.188,0.9449044240699201
0.189,0.9451425298901199
0.19,0.9436178226952624
0.191,0.9424746398075362
0.192,0.9427229416199255
0.193,0.9429651019348257
0.194,0.9432066177395196
0.195,0.9434473642603148
0.196,0.9436876776406911
0.197,0.9439270836689049
0.198,0.9441627544206221
0.199,0.9443929878529046
0.2,0.9446223966168429
0.201,0.944851287190404
0.202,0.9450797749739849
0.203,0.9449979087322686
0.20400000000000001,0.9442769052721495
0.20500000000000002,0.9436467659423423
0.20600000000000002,0.943874776953986
0.20700000000000002,0.9441025803003787
0.20800000000000002,0.9443296192954834
0.209,0.9445558881605101
0.21,0.9445352557859351
0.211,0.9441725224853578
0.212,0.9438090224383779
0.213,0.9434450287343419
0.214,0.943080553998891
0.215,0.9427152436198117
0.216,0.942601148319205
0.217,0.942818351324911
0.218,0.9429492953067993
0.219,0.9414929666515535
0.22,0.9407917241526121
0.221,0.9410178225009524
0.222,0.9412403510428842
0.223,0.9414589742553602
0.224,0.9416766851746537
0.225,0.9418939471904924
0.226,0.9421106805730638
0.227,0.9423266785355505
0.228,0.9425393386933667
0.229,0.9427483533150672
0.23,0.9429565585167794
0.231,0.9431643299762207
0.232,0.943371598200863
0.233,0.9435781977267187
0.234,0.9436629261072002
0.23500000000000001,0.9430541634374124
0.23600000000000002,0.9424450533614062
0.23700000000000002,0.9425856730940065
0.23800000000000002,0.9427912950348676
0.23900000000000002,0.9426232723322006
0.24,0.942027803796727
0.241,0.9414290889011129
0.242,0.9411605418179485
