,Class 0,Class 1,Class 2,Class 3,Class 4
Class 0,0.8878205128205128,0.04807692307692308,0.016025641025641024,0.022435897435897436,0.02564102564102564
Class 1,0.017817371937639197,0.9309576837416481,0.026726057906458798,0.017817371937639197,0.0066815144766146995
Class 2,0.0581039755351682,0.04281345565749235,0.8654434250764526,0.021406727828746176,0.012232415902140673
Class 3,0.23605150214592274,0.10300429184549356,0.03862660944206009,0.592274678111588,0.030042918454935622
Class 4,0.3473053892215569,0.09580838323353294,0.0718562874251497,0.04790419161676647,0.437125748502994
