epoch,accuracy,loss,val_accuracy,val_loss
0,0.6097497940063477,0.47326549887657166,0.8203321695327759,0.22061529755592346
1,0.8465918898582458,0.20555421710014343,0.8799194693565369,0.1507820188999176
2,0.8898619413375854,0.14285725355148315,0.8889783620834351,0.1307033896446228
3,0.9103968739509583,0.11079809069633484,0.9029693007469177,0.11931571364402771
4,0.920750617980957,0.09464394301176071,0.9125314354896545,0.11808490008115768
5,0.9330457448959351,0.0810084268450737,0.9101157784461975,0.12405416369438171
6,0.9382225871086121,0.07358131557703018,0.9193759560585022,0.11308876425027847
7,0.9451682567596436,0.06261759251356125,0.9147458672523499,0.12518057227134705
8,0.948101818561554,0.060994334518909454,0.9174635410308838,0.1176639124751091
9,0.9522864818572998,0.056633930653333664,0.926925003528595,0.09850066900253296
10,0.9549611806869507,0.052017692476511,0.9264217615127563,0.12031283229589462
11,0.9600949287414551,0.0484505295753479,0.921791672706604,0.11188302934169769
12,0.9612597227096558,0.046333398669958115,0.9204831123352051,0.12199654430150986
13,0.9637618660926819,0.044725142419338226,0.9178661108016968,0.13213782012462616
14,0.9632010459899902,0.04462333396077156,0.920181155204773,0.1241329163312912
15,0.9658325910568237,0.0433148629963398,0.9302465915679932,0.122275210916996
16,0.9689818620681763,0.03849291428923607,0.9228988289833069,0.13684500753879547
17,0.9709663391113281,0.03730577602982521,0.9191746115684509,0.12989388406276703
18,0.9744176268577576,0.03454253450036049,0.9343734383583069,0.11325891315937042
19,0.9736410975456238,0.036716729402542114,0.9262204170227051,0.13933363556861877
20,0.9751078486442566,0.03471473604440689,0.9268243312835693,0.12493725121021271
21,0.9767040610313416,0.03159563988447189,0.921791672706604,0.14554144442081451
22,0.9757981300354004,0.03412425518035889,0.9294413924217224,0.1398879438638687
23,0.9795513153076172,0.027710895985364914,0.9367891550064087,0.1307511329650879
24,0.9817946553230286,0.02692706696689129,0.9310518503189087,0.15104611217975616
25,0.980327844619751,0.02802475541830063,0.9358832240104675,0.1309107542037964
26,0.9820966124534607,0.026662860065698624,0.9265223741531372,0.12286379933357239
27,0.9836496710777283,0.022892365232110023,0.9292400479316711,0.15846946835517883
28,0.9813632369041443,0.027847645804286003,0.9252138733863831,0.13984647393226624
29,0.9821397662162781,0.02649504318833351,0.9310518503189087,0.14837968349456787
