epoch,accuracy,loss,val_accuracy,val_loss
0,0.6843047738075256,0.3833412230014801,0.8477463722229004,0.1888764500617981
1,0.8687999844551086,0.1708802729845047,0.8917470574378967,0.1322212517261505
2,0.9013919830322266,0.12514503300189972,0.8909009099006653,0.13423047959804535
3,0.9219822883605957,0.0980575755238533,0.9123371243476868,0.11330743134021759
4,0.9333351850509644,0.08417708426713943,0.9119422435760498,0.1129964143037796
5,0.9397802948951721,0.07622964680194855,0.9185987710952759,0.11144412308931351
6,0.943700909614563,0.07108964771032333,0.9259321689605713,0.10844211280345917
7,0.951598584651947,0.059834882616996765,0.9287527203559875,0.10803552716970444
8,0.9532486200332642,0.05913611501455307,0.9261578321456909,0.10288213193416595
9,0.9562666416168213,0.05502491816878319,0.9233372807502747,0.10469268262386322
10,0.9579026103019714,0.05280771851539612,0.9303322434425354,0.10281899571418762
11,0.9616258144378662,0.04819751903414726,0.9320245981216431,0.10990297049283981
12,0.9626976251602173,0.04695296660065651,0.9351836442947388,0.09997855126857758
13,0.9643194675445557,0.04574452340602875,0.9311784505844116,0.11675561964511871
14,0.964573323726654,0.04465796425938606,0.938399076461792,0.1083146408200264
15,0.965955376625061,0.0430910661816597,0.9349015355110168,0.1148109883069992
16,0.9664913415908813,0.04217831790447235,0.9344502687454224,0.13496127724647522
17,0.9670131206512451,0.0429106131196022,0.9393580555915833,0.13108156621456146
18,0.9699747562408447,0.03824552521109581,0.9358605742454529,0.11786502599716187
19,0.9698055386543274,0.03890424594283104,0.9378913640975952,0.10694451630115509
20,0.9727248549461365,0.035181887447834015,0.9416145086288452,0.10650716722011566
21,0.9748402833938599,0.03186747804284096,0.9407119154930115,0.12132258713245392
22,0.9724991917610168,0.03508680313825607,0.9400349855422974,0.1175314337015152
23,0.970538854598999,0.038250114768743515,0.9292040467262268,0.117718406021595
24,0.9726402163505554,0.03637516498565674,0.9376093149185181,0.11303079128265381
25,0.9740505218505859,0.03342144936323166,0.9398093223571777,0.11863049864768982
26,0.9765044450759888,0.030117543414235115,0.9396401047706604,0.10237909853458405
27,0.9766031503677368,0.030301477760076523,0.9404298663139343,0.12174706161022186
28,0.9753903150558472,0.03212318941950798,0.9400913715362549,0.1153392642736435
29,0.9760531187057495,0.03248632699251175,0.9374964833259583,0.10360345989465714
