Class,AP50_Thermal,AP50_RGB,AP50_Ours
C1,0.7,0.6,0.86
C2,0.74,0.66,0.89
C3,0.75,0.62,0.9
C4,0.77,0.68,0.91
C5,0.79,0.7,0.92
C6,0.81,0.71,0.93
C7,0.78,0.67,0.9
C8,0.8,0.65,0.91
C9,0.76,0.63,0.88
C10,0.74,0.61,0.87
