Dataset,Eps_m,DupFPDeDup
PVF-10,0.3,0.11
PVF-10,0.5,0.09
PVF-10,1.0,0.07
PVF-10,1.5,0.08
STHS-277,0.3,0.09
STHS-277,0.5,0.07
STHS-277,1.0,0.05
STHS-277,1.5,0.06
