bin_center,pred_conf,emp_acc,weight
0.05,0.05,0.055,0.03
0.15,0.15,0.148,0.05
0.25,0.25,0.252,0.1
0.35,0.35,0.345,0.12
0.45,0.45,0.452,0.1
0.55,0.55,0.548,0.12
0.65,0.65,0.648,0.14
0.75,0.75,0.748,0.14
0.85,0.85,0.848,0.1
0.95,0.95,0.948,0.1
