,Emotion,Precision,Recall,F1-Score,Accuracy,Model
4,Сум,1.0,0.9695268644747393,0.9845276872964168,0.21183450930083386,Модель_1
9,Сум,0.9873317498020586,1.0,0.9936254980079682,0.21391917896087234,Модель_2
14,Сум,1.0,0.8853247794707297,0.9391748192258613,0.6574727389352149,Модель_3
19,Сум,1.0,0.9566960705693665,0.9778688524590164,0.2065426555484285,Модель_4
24,Сум,0.9818897637795275,1.0,0.9908621374652364,0.6840923669018601,Модель_5
