variant,acc,f1,auc,ece,brier
XFND (uncalibrated),0.723,0.724,0.808,0.103,0.178
XFND (calibrated),0.728,0.731,0.812,0.049,0.168
w/o HGIVR,0.705,0.707,0.789,0.112,0.187
