variant,acc,f1,auc,ece,brier
XFND (uncalibrated),0.431,0.424,0.756,0.118,0.195
XFND (calibrated),0.438,0.432,0.762,0.051,0.182
w/o HGIVR,0.409,0.402,0.732,0.129,0.203
