Structure,TAAC_Delta_DSC_pp,TAAC_Delta_HD95_mm,EGA_Delta_DSC_pp,EGA_Delta_HD95_mm
LV,1.0,-1.3000000000000007,0.3999999999999915,-0.5
Myo,2.1000000000000085,-2.5,0.6999999999999886,-0.7999999999999998
RV,2.0,-1.5999999999999996,0.7999999999999972,-0.9000000000000004
