Class,F1,AUC,AP
NOR,0.9,0.993125,0.9718512125223158
HCM,0.8947368421052632,0.9881249999999999,0.9756410256410257
DCM,0.9268292682926829,0.994375,0.9774883063273159
MINF,0.9500000000000001,0.99375,0.9776110052658042
ARV,0.9268292682926829,0.98875,0.957460424291761
