Dataset,Model,Macro_DSC_pct,Macro_HD95_mm,Macro_ASD_mm
ACDC,Att-UNet,89.7,8.733333333333334,2.2666666666666666
ACDC,Baseline U-Net,88.89999999999999,9.5,2.4333333333333336
ACDC,SKIF-Seg,91.23333333333333,6.966666666666666,1.9000000000000001
ACDC,U-Net+TAAC,90.60000000000001,7.7,2.033333333333333
M&Ms-2,Att-UNet,88.03333333333335,9.933333333333332,2.733333333333333
M&Ms-2,Baseline U-Net,87.10000000000001,10.866666666666667,2.9333333333333336
M&Ms-2,SKIF-Seg,89.60000000000001,8.466666666666667,2.3000000000000003
M&Ms-2,U-Net+TAAC,88.76666666666667,9.0,2.5
